;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;N13;N14;N15;N16
210;0;0;0;0;0;0;0;0;101107.21333548799;0;0;0;0;0;0
211;0;0;0;113610.9214326586;0;0;0;0;0;0;0;113610.9214326586;0;113610.9214326586;113610.9214326586
212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
213;0;0;0;0;0;0;0;0;101912.51342724565;0;0;0;0;0;0
214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
215;109962.98936681906;109962.98936681906;109962.98936681906;0;109962.98936681906;109962.98936681906;109962.98936681906;109962.98936681906;0;109962.98936681906;109962.98936681906;0;109962.98936681906;0;0
216;0;0;0;0;0;0;0;0;102013.18280344676;0;0;0;0;0;0
217;0;0;0;114602.26802552608;0;0;0;0;0;0;0;114602.26802552608;0;114602.26802552608;114602.26802552608
218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
219;0;0;0;0;0;0;0;0;101711.17604678495;0;0;0;0;0;0
220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
222;0;0;0;0;0;0;0;0;101258.19473310593;0;0;0;0;0;0
223;0;0;0;113865.81924032117;0;0;0;0;0;0;0;113865.81924032117;0;113865.81924032117;113865.81924032117
224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
225;109766.0095721497;109766.0095721497;109766.0095721497;0;109766.0095721497;109766.0095721497;109766.0095721497;109766.0095721497;0;109766.0095721497;109766.0095721497;0;109766.0095721497;0;0
226;0;0;0;0;0;0;0;0;133853.47905545478;0;0;0;0;0;0
227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
229;0;0;0;111685.44202434077;0;0;0;0;0;0;0;111685.44202434077;0;111685.44202434077;111685.44202434077
230;0;0;0;0;0;0;0;0;131388.12561644893;0;0;0;0;0;0
231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
234;0;0;0;0;0;0;0;0;131186.90292023894;0;0;0;0;0;0
235;106812.27687820228;106812.27687820228;106812.27687820228;110552.98330008065;106812.27687820228;106812.27687820228;106812.27687820228;106812.27687820228;0;106812.27687820228;106812.27687820228;110552.98330008065;106812.27687820228;110552.98330008065;110552.98330008065
236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
238;0;0;0;0;0;0;0;0;130583.32414847374;0;0;0;0;0;0
239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
241;0;0;0;108968.16601865186;0;0;0;0;0;0;0;108968.16601865186;0;108968.16601865186;108968.16601865186
242;0;0;0;0;0;0;0;0;128169.36802901147;0;0;0;0;0;0
243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
244;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
245;104663.85727634378;104663.85727634378;104663.85727634378;0;104663.85727634378;104663.85727634378;104663.85727634378;104663.85727634378;0;104663.85727634378;104663.85727634378;0;104663.85727634378;0;0
246;0;0;0;0;0;0;0;0;128119.07983559286;0;0;0;0;0;0
247;0;0;0;108006.0336596158;0;0;0;0;0;0;0;108006.0336596158;0;108006.0336596158;108006.0336596158
248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
250;0;0;0;0;0;0;0;0;129024.21229551501;0;0;0;0;0;0
251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
253;0;0;0;109335.9824912912;0;0;0;0;0;0;0;109335.9824912912;0;109335.9824912912;109335.9824912912
254;0;0;0;0;0;0;0;0;130432.40498013467;0;0;0;0;0;0
255;105418.14633604045;105418.14633604045;105418.14633604045;0;105418.14633604045;105418.14633604045;105418.14633604045;105418.14633604045;0;105418.14633604045;105418.14633604045;0;105418.14633604045;0;0
256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
258;0;0;0;0;0;0;0;0;131136.60072985623;0;0;0;0;0;0
259;0;0;0;110468.06703575187;0;0;0;0;0;0;0;110468.06703575187;0;110468.06703575187;110468.06703575187
260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
262;0;0;0;0;0;0;0;0;131186.90292023894;0;0;0;0;0;0
263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
265;106648.217690806;106648.217690806;106648.217690806;110609.59739661484;106648.217690806;106648.217690806;106648.217690806;106648.217690806;0;106648.217690806;106648.217690806;110609.59739661484;106648.217690806;110609.59739661484;110609.59739661484
266;0;0;0;0;0;0;0;0;131488.7341797169;0;0;0;0;0;0
267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
268;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
270;0;0;0;0;0;0;0;0;132847.0937193075;0;0;0;0;0;0
271;0;0;0;111911.8640855203;0;0;0;0;0;0;0;111911.8640855203;0;111911.8640855203;111911.8640855203
272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
274;0;0;0;0;0;0;0;0;133853.45418739936;0;0;0;0;0;0
275;108387.39493149542;108387.39493149542;108387.39493149542;0;108387.39493149542;108387.39493149542;108387.39493149542;108387.39493149542;0;108387.39493149542;108387.39493149542;0;108387.39493149542;0;0
276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
277;0;0;0;113384.359253789;0;0;0;0;101308.52461690138;0;0;113384.359253789;0;113384.359253789;113384.359253789
278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
279;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
280;0;0;0;0;0;0;0;0;101409.18300953871;0;0;0;0;0;0
281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
283;0;0;0;113610.92144294363;0;0;0;0;100805.25467725802;0;0;113610.92144294363;0;113610.92144294363;113610.92144294363
284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
285;109454.13574460553;109454.13574460553;109454.13574460553;0;109454.13574460553;109454.13574460553;109454.13574460553;109454.13574460553;0;109454.13574460553;109454.13574460553;0;109454.13574460553;0;0
286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
287;0;0;0;0;0;0;0;0;133903.76890310008;0;0;0;0;0;0
288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
289;0;0;0;113044.50632023318;0;0;0;0;0;0;0;113044.50632023318;0;113044.50632023318;113044.50632023318
290;0;0;0;0;0;0;0;0;101107.21333548799;0;0;0;0;0;0
291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
292;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
293;0;0;0;0;0;0;0;0;101912.51342724565;0;0;0;0;0;0
294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
295;109913.7522918838;109913.7522918838;109913.7522918838;114460.63996476341;109913.7522918838;109913.7522918838;109913.7522918838;109913.7522918838;0;109913.7522918838;109913.7522918838;114460.63996476341;109913.7522918838;114460.63996476341;114460.63996476341
296;0;0;0;0;0;0;0;0;102013.18280344676;0;0;0;0;0;0
297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
299;0;0;0;0;0;0;0;0;102013.18280344676;0;0;0;0;0;0
300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
301;0;0;0;114602.26802552608;0;0;0;0;0;0;0;114602.26802552608;0;114602.26802552608;114602.26802552608
302;0;0;0;0;0;0;0;0;101862.17805367471;0;0;0;0;0;0
303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
305;110324.11379697725;110324.11379697725;110324.11379697725;0;110324.11379697725;110324.11379697725;110324.11379697725;110324.11379697725;101459.51426728499;110324.11379697725;110324.11379697725;0;110324.11379697725;0;0
306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
307;0;0;0;114035.75578310767;0;0;0;0;0;0;0;114035.75578310767;0;114035.75578310767;114035.75578310767
308;0;0;0;0;0;0;0;0;101409.18300953871;0;0;0;0;0;0
309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
311;0;0;0;0;0;0;0;0;101107.20920759252;0;0;0;0;0;0
312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
313;0;0;0;113554.26950235723;0;0;0;0;0;0;0;113554.26950235723;0;113554.26950235723;113554.26950235723
314;0;0;0;0;0;0;0;0;100805.24916529858;0;0;0;0;0;0
